stage,generation,sample_accuracy_percent,sample_loss,changed_weights,test_accuracy_percent,test_loss
generation,0,82.90000557899475,0.4866379499435425,12,,
generation,1,85.25000214576721,0.43540170788764954,18,,
generation,2,85.50000190734863,0.4237061142921448,18,,
generation,3,85.25000214576721,0.414427250623703,44,,
generation,4,85.95000505447388,0.4091660678386688,46,,
generation,5,86.65000200271606,0.39860254526138306,62,,
generation,6,86.2000048160553,0.3941323757171631,89,,
generation,7,87.30000257492065,0.36786022782325745,83,,
generation,8,87.50000596046448,0.3605656027793884,92,,
generation,9,87.90000677108765,0.3449050486087799,108,,
generation,10,87.10000514984131,0.3712339997291565,117,,
generation,11,88.75000476837158,0.3164992928504944,112,,
generation,12,88.20000290870667,0.35562628507614136,130,,
generation,13,87.50000596046448,0.3675898313522339,136,,
generation,14,87.4500036239624,0.3591102659702301,126,,
generation,15,87.35000491142273,0.3610718250274658,142,,
generation,16,88.80000710487366,0.33727723360061646,163,,
generation,17,88.45000267028809,0.35502129793167114,174,,
generation,18,88.50000500679016,0.3612613379955292,175,,
generation,19,87.90000677108765,0.3686777353286743,180,,
generation,20,88.30000162124634,0.3492406904697418,173,,
generation,21,88.65000605583191,0.3512023091316223,193,,
generation,22,88.30000162124634,0.35627180337905884,206,,
generation,23,88.40000629425049,0.33814480900764465,220,,
generation,24,88.60000371932983,0.3352775275707245,243,,
generation,25,87.65000700950623,0.3543988764286041,213,,
generation,26,88.25000524520874,0.3495655953884125,237,,
generation,27,87.70000338554382,0.3628150522708893,258,,
generation,28,87.70000338554382,0.3644044101238251,269,,
generation,29,88.10000419616699,0.35795846581459045,282,,
generation,30,87.30000257492065,0.3679015636444092,283,,
generation,31,89.40000534057617,0.3206771910190582,290,,
generation,32,88.35000395774841,0.3317157030105591,264,,
generation,33,87.10000514984131,0.385774165391922,279,,
generation,34,89.45000171661377,0.3299935460090637,305,,
generation,35,88.75000476837158,0.3420165181159973,326,,
generation,36,87.60000467300415,0.3686586618423462,311,,
generation,37,87.05000281333923,0.3798508644104004,319,,
generation,38,88.25000524520874,0.36631542444229126,342,,
generation,39,87.90000677108765,0.3716066777706146,347,,
generation,40,87.70000338554382,0.3757363259792328,354,,
generation,41,88.7000024318695,0.3396783471107483,351,,
generation,42,87.55000233650208,0.3764393925666809,394,,
generation,43,87.8000020980835,0.3712873160839081,416,,
generation,44,89.20000195503235,0.3451647162437439,378,,
generation,45,88.00000548362732,0.36459481716156006,392,,
generation,46,86.80000305175781,0.3922503888607025,416,,
generation,47,88.15000653266907,0.3602997660636902,385,,
generation,48,89.25000429153442,0.3330173194408417,462,,
generation,49,87.65000700950623,0.36987486481666565,408,,
generation,50,88.95000219345093,0.34329554438591003,431,,
generation,51,87.95000314712524,0.3445824086666107,441,,
generation,52,89.3500030040741,0.33189791440963745,450,,
generation,53,87.35000491142273,0.37622812390327454,474,,
generation,54,87.35000491142273,0.38702479004859924,465,,
generation,55,88.55000138282776,0.34673482179641724,474,,
generation,56,88.60000371932983,0.3500616252422333,472,,
generation,57,88.20000290870667,0.35725077986717224,456,,
generation,58,88.05000185966492,0.3408586382865906,482,,
generation,59,87.85000443458557,0.3602279722690582,480,,
generation,60,88.30000162124634,0.3705084025859833,500,,
generation,61,89.000004529953,0.33787304162979126,520,,
generation,62,88.00000548362732,0.3473382890224457,531,,
generation,63,89.80000615119934,0.3195874094963074,524,,
generation,64,88.55000138282776,0.3570241332054138,523,,
generation,65,87.8000020980835,0.35860475897789,529,,
generation,66,88.50000500679016,0.3516474962234497,544,,
generation,67,87.55000233650208,0.36918142437934875,559,,
generation,68,88.85000348091125,0.36364057660102844,571,,
generation,69,89.60000276565552,0.33400970697402954,570,,
generation,70,88.35000395774841,0.352369099855423,560,,
generation,71,89.3000066280365,0.3346172273159027,560,,
generation,72,88.30000162124634,0.36325308680534363,580,,
generation,73,87.70000338554382,0.36400967836380005,578,,
generation,74,87.35000491142273,0.37225407361984253,634,,
generation,75,88.75000476837158,0.36037641763687134,604,,
generation,76,88.10000419616699,0.36429181694984436,631,,
generation,77,89.3500030040741,0.3406650424003601,630,,
generation,78,89.15000557899475,0.3451274037361145,608,,
generation,79,88.25000524520874,0.35360971093177795,676,,
generation,80,89.05000686645508,0.3410848081111908,639,,
generation,81,89.55000638961792,0.32521554827690125,643,,
generation,82,87.00000643730164,0.3920572102069855,684,,
generation,83,87.85000443458557,0.3771783411502838,692,,
generation,84,88.35000395774841,0.34773877263069153,707,,
generation,85,87.8000020980835,0.36278846859931946,735,,
generation,86,88.75000476837158,0.3532874286174774,742,,
generation,87,88.55000138282776,0.36776769161224365,765,,
generation,88,87.20000386238098,0.38506045937538147,733,,
generation,89,87.7500057220459,0.3649232089519501,718,,
generation,90,89.05000686645508,0.33957675099372864,731,,
generation,91,88.25000524520874,0.3586045801639557,739,,
generation,92,88.7000024318695,0.34961751103401184,735,,
generation,93,88.20000290870667,0.3717273771762848,739,,
generation,94,88.10000419616699,0.3645152151584625,750,,
generation,95,88.65000605583191,0.3396148681640625,768,,
generation,96,89.000004529953,0.33858633041381836,788,,
generation,97,87.95000314712524,0.3548777103424072,759,,
generation,98,88.45000267028809,0.3618306815624237,819,,
generation,99,88.55000138282776,0.352487713098526,808,,
generation,100,88.50000500679016,0.34376442432403564,817,,
after_ga,,,,,72.17999696731567,0.9092662930488586
