stage,generation,sample_accuracy_percent,sample_loss,test_accuracy_percent,test_loss
generation,0,15.000000596046448,64.68344116210938,,
generation,1,15.550000965595245,66.04546356201172,,
generation,2,15.600000321865082,64.65440368652344,,
generation,3,15.600000321865082,53.62192916870117,,
generation,4,15.75000137090683,73.2684097290039,,
generation,5,17.400000989437103,61.47593307495117,,
generation,6,15.900000929832458,60.19231414794922,,
generation,7,16.600000858306885,69.74034118652344,,
generation,8,16.500000655651093,56.90463638305664,,
generation,9,16.4000004529953,64.26561737060547,,
generation,10,16.55000150203705,64.67430877685547,,
generation,11,16.700001060962677,57.62677001953125,,
generation,12,16.00000113248825,78.56788635253906,,
generation,13,16.200000047683716,59.57720184326172,,
generation,14,16.55000150203705,74.57341003417969,,
generation,15,16.80000126361847,85.746337890625,,
generation,16,16.850000619888306,66.649658203125,,
generation,17,17.05000102519989,65.5268783569336,,
generation,18,16.00000113248825,65.83516693115234,,
generation,19,17.150001227855682,79.72251892089844,,
generation,20,17.30000078678131,80.6489028930664,,
generation,21,16.750000417232513,80.41325378417969,,
generation,22,17.250001430511475,58.39397430419922,,
generation,23,18.550001084804535,70.14775848388672,,
generation,24,18.250000476837158,69.49024200439453,,
generation,25,18.050001561641693,70.62061309814453,,
generation,26,18.35000067949295,69.85588073730469,,
generation,27,18.250000476837158,68.40310668945312,,
generation,28,17.250001430511475,80.22395324707031,,
generation,29,17.30000078678131,54.92235565185547,,
generation,30,18.650001287460327,85.6540756225586,,
generation,31,19.15000081062317,67.80631256103516,,
generation,32,17.85000115633011,78.4692611694336,,
generation,33,17.900000512599945,70.39826965332031,,
generation,34,19.25000101327896,52.624061584472656,,
generation,35,18.700000643730164,79.7596206665039,,
generation,36,18.650001287460327,54.94075393676758,,
generation,37,18.400001525878906,58.14653015136719,,
generation,38,18.250000476837158,82.2123794555664,,
generation,39,19.100001454353333,58.33802795410156,,
generation,40,19.00000125169754,67.44706726074219,,
generation,41,20.350000262260437,69.3083267211914,,
generation,42,19.15000081062317,72.16162872314453,,
generation,43,19.25000101327896,68.3973159790039,,
generation,44,18.400001525878906,80.4510269165039,,
generation,45,19.550001621246338,80.48114013671875,,
generation,46,19.00000125169754,72.60164642333984,,
generation,47,18.700000643730164,71.74488830566406,,
generation,48,19.00000125169754,69.46368408203125,,
generation,49,20.70000171661377,71.26016998291016,,
generation,50,19.15000081062317,75.20886993408203,,
generation,51,19.40000057220459,71.46224212646484,,
generation,52,19.600000977516174,74.24044799804688,,
generation,53,20.600001513957977,72.53987121582031,,
